Frame,Timestamp,Credits,Win,Bet
18951,0:05:15.850000,$1490.05,,
18966,0:05:16.100000,$1490.05,,
18981,0:05:16.350000,$1490.05,,$50.00
18996,0:05:16.600000,$1490.05,,
19011,0:05:16.850000,$1490.05,,$90.00
19026,0:05:17.100000,$1440.05,,$90.00
19041,0:05:17.350000,$1440.05,,$90.00
19056,0:05:17.600000,$1440.05,,$90.00
19071,0:05:17.850000,$1440.05,,$50.00
19086,0:05:18.100000,$1440.05,,$50.00
19101,0:05:18.350000,$1440.05,,$90.00
19116,0:05:18.600000,$1440.05,,$90.00
19131,0:05:18.850000,$1440.05,,$50.00
19146,0:05:19.100000,$1440.05,,$90.00
19161,0:05:19.350000,$1440.05,,$90.00
19176,0:05:19.600000,$1440.05,,$90.00
19191,0:05:19.850000,$1440.05,,$90.00
19206,0:05:20.100000,$1440.05,,
19221,0:05:20.350000,$1440.05,,
19236,0:05:20.600000,$1390.05,,
19251,0:05:20.850000,$1390.05,,
19266,0:05:21.100000,$1390.05,,$50.00
19281,0:05:21.350000,$1390.05,,$90.00
19296,0:05:21.600000,$1390.05,,$90.00
19311,0:05:21.850000,$1390.05,,$90.00
19326,0:05:22.100000,$1390.05,,$90.00
19341,0:05:22.350000,$1390.05,,$90.00
19356,0:05:22.600000,$1390.05,,$50.00
19371,0:05:22.850000,$1390.05,,$50.00
19386,0:05:23.100000,$1390.05,,$90.00
19401,0:05:23.350000,$1390.05,,$90.00
19416,0:05:23.600000,$1390.05,,$90.00
19431,0:05:23.850000,$1340.05,,$90.00
19446,0:05:24.100000,$1340.05,,$90.00
19461,0:05:24.350000,$1340.05,,$90.00
19476,0:05:24.600000,$1340.05,,$90.00
19491,0:05:24.850000,$1340.05,,$90.00
19506,0:05:25.100000,$1340.05,,$50.00
19521,0:05:25.350000,$1340.05,,$30.00
19536,0:05:25.600000,$1340.05,,$50.00
19551,0:05:25.850000,$1340.05,,$50.00
19566,0:05:26.100000,$1340.05,,$90.00
19581,0:05:26.350000,$1340.05,,$90.00
19596,0:05:26.600000,$1340.05,,
19611,0:05:26.850000,$1340.05,,$90.00
19626,0:05:27.100000,$1340.05,,$90.00
19641,0:05:27.350000,$1290.05,,$50.00
19656,0:05:27.600000,$1290.05,,$90.00
19671,0:05:27.850000,$1290.05,,$90.00
19686,0:05:28.100000,$1290.05,,$90.00
19701,0:05:28.350000,$1290.05,,$90.00
19716,0:05:28.600000,$1290.05,,$90.00
19731,0:05:28.850000,$1290.05,,$90.00
19746,0:05:29.100000,$1290.05,,
19761,0:05:29.350000,$1290.05,,$90.00
19776,0:05:29.600000,$1290.05,,
19791,0:05:29.850000,$1290.05,,$50.00
19806,0:05:30.100000,$1290.05,,$90.00
19821,0:05:30.350000,$1290.05,,$90.00
19836,0:05:30.600000,$1290.05,,$90.00
19851,0:05:30.850000,$1240.05,,$90.00
19866,0:05:31.100000,$1240.05,,$90.00
19881,0:05:31.350000,$1240.05,,$90.00
19896,0:05:31.600000,$1240.05,,$90.00
19911,0:05:31.850000,$1240.05,,$90.00
19926,0:05:32.100000,$1240.05,,
19941,0:05:32.350000,$1240.05,,$90.00
19956,0:05:32.600000,$1240.05,,$90.00
19971,0:05:32.850000,$1240.05,,$50.00
19986,0:05:33.100000,$1240.05,,
20001,0:05:33.350000,$1240.05,,$90.00
20016,0:05:33.600000,$1240.05,,$90.00
20031,0:05:33.850000,$1240.05,,$50.00
20046,0:05:34.100000,$1240.05,,$90.00
20061,0:05:34.350000,$1190.05,,$90.00
20076,0:05:34.600000,$1190.05,,$90.00
20091,0:05:34.850000,$1190.05,,$90.00
20106,0:05:35.100000,$1190.05,,$90.00
20121,0:05:35.350000,$1190.05,,$90.00
20136,0:05:35.600000,$1190.05,,$90.00
20151,0:05:35.850000,$1190.05,,$90.00
20166,0:05:36.100000,$1190.05,,$50.00
20181,0:05:36.350000,$1190.05,,$50.00
20196,0:05:36.600000,$1190.05,,$50.00
21319,0:05:55.316667,,,$90.00
21334,0:05:55.566667,,,$50.00
21349,0:05:55.816667,,,$90.00
21364,0:05:56.066667,,,$50.00
21379,0:05:56.316667,,,$90.00
21394,0:05:56.566667,,,$90.00
21409,0:05:56.816667,,,$90.00
21424,0:05:57.066667,,,$90.00
21439,0:05:57.316667,,,$50.00
21454,0:05:57.566667,,,$90.00
21469,0:05:57.816667,,,$90.00
21484,0:05:58.066667,,,$90.00
21499,0:05:58.316667,,,$90.00
21514,0:05:58.566667,,,$90.00
21529,0:05:58.816667,,,$90.00
21544,0:05:59.066667,,,$90.00
21559,0:05:59.316667,,,$50.00
21574,0:05:59.566667,,,$50.00
21589,0:05:59.816667,,,$50.00
21604,0:06:00.066667,,,$50.00
21619,0:06:00.316667,,,$50.00
21634,0:06:00.566667,,,$90.00
21649,0:06:00.816667,,,$90.00
21664,0:06:01.066667,,,$50.00
21679,0:06:01.316667,,,$90.00
21694,0:06:01.566667,,,$50.00
21709,0:06:01.816667,,,$50.00
21724,0:06:02.066667,,,$90.00
21739,0:06:02.316667,,,$50.00
21754,0:06:02.566667,,,$50.00
21874,0:06:04.566667,,,$50.00
21889,0:06:04.816667,$940.05,,$50.00
21904,0:06:05.066667,$940.05,,$50.00
21919,0:06:05.316667,$940.05,,$50.00
21934,0:06:05.566667,$940.05,,$50.00
21949,0:06:05.816667,$940.05,,$50.00
21964,0:06:06.066667,$940.05,,$90.00
21979,0:06:06.316667,$940.05,,$50.00
21994,0:06:06.566667,$940.05,,$90.00
22009,0:06:06.816667,$940.05,,$90.00
22024,0:06:07.066667,,,$90.00
22054,0:06:07.566667,,,$50.00
22084,0:06:08.066667,,,$90.00
22099,0:06:08.316667,,,$90.00
22114,0:06:08.566667,,,$50.00
22129,0:06:08.816667,,,$90.00
22144,0:06:09.066667,$940.05,,$50.00
22159,0:06:09.316667,$940.05,,$90.00
22174,0:06:09.566667,9100000,,
22189,0:06:09.816667,o1aUU.UU,,
22234,0:06:10.566667,o1aUU.UU,,
22249,0:06:10.816667,d 1000.00,,
22264,0:06:11.066667,9100000,,
26054,0:07:14.233333,$620.00,,
26069,0:07:14.483333,$620.00,,
26084,0:07:14.733333,$620.00,,
26099,0:07:14.983333,$620.00,,
26114,0:07:15.233333,$620.00,,
26129,0:07:15.483333,$620.00,,
